22:28:17 | sup[vit_small] | INFO | epoch 041/100 | train_loss 0.2252 train_acc 0.9194 | val_loss 0.1874 val_acc 0.9357 (00:00:08)
22:28:26 | sup[vit_small] | INFO | epoch 042/100 | train_loss 0.2181 train_acc 0.9214 | val_loss 0.1758 val_acc 0.9380 (00:00:08)
22:28:35 | sup[vit_small] | INFO | epoch 043/100 | train_loss 0.2216 train_acc 0.9211 | val_loss 0.2032 val_acc 0.9298 (00:00:08)
22:28:44 | sup[vit_small] | INFO | epoch 044/100 | train_loss 0.2127 train_acc 0.9231 | val_loss 0.1779 val_acc 0.9379 (00:00:08)
22:28:53 | sup[vit_small] | INFO | epoch 045/100 | train_loss 0.2147 train_acc 0.9241 | val_loss 0.1655 val_acc 0.9428 (00:00:08)
22:29:02 | sup[vit_small] | INFO | epoch 046/100 | train_loss 0.2078 train_acc 0.9253 | val_loss 0.1737 val_acc 0.9392 (00:00:08)
22:29:11 | sup[vit_small] | INFO | epoch 047/100 | train_loss 0.2074 train_acc 0.9267 | val_loss 0.1590 val_acc 0.9431 (00:00:08)
22:29:19 | sup[vit_small] | INFO | epoch 048/100 | train_loss 0.1817 train_acc 0.9354 | val_loss 0.1565 val_acc 0.9447 (00:00:08)
22:29:28 | sup[vit_small] | INFO | epoch 049/100 | train_loss 0.1848 train_acc 0.9339 | val_loss 0.1530 val_acc 0.9451 (00:00:08)
22:29:37 | sup[vit_small] | INFO | epoch 050/100 | train_loss 0.1800 train_acc 0.9363 | val_loss 0.1456 val_acc 0.9475 (00:00:08)
22:29:46 | sup[vit_small] | INFO | epoch 051/100 | train_loss 0.1730 train_acc 0.9390 | val_loss 0.1494 val_acc 0.9478 (00:00:08)
22:29:55 | sup[vit_small] | INFO | epoch 052/100 | train_loss 0.1744 train_acc 0.9384 | val_loss 0.1329 val_acc 0.9547 (00:00:08)
22:30:04 | sup[vit_small] | INFO | epoch 053/100 | train_loss 0.1726 train_acc 0.9392 | val_loss 0.1440 val_acc 0.9513 (00:00:08)
22:30:13 | sup[vit_small] | INFO | epoch 054/100 | train_loss 0.1619 train_acc 0.9426 | val_loss 0.1242 val_acc 0.9557 (00:00:08)
22:30:21 | sup[vit_small] | INFO | epoch 055/100 | train_loss 0.1519 train_acc 0.9466 | val_loss 0.1223 val_acc 0.9545 (00:00:08)
22:30:30 | sup[vit_small] | INFO | epoch 056/100 | train_loss 0.1507 train_acc 0.9468 | val_loss 0.1154 val_acc 0.9586 (00:00:08)
22:30:39 | sup[vit_small] | INFO | epoch 057/100 | train_loss 0.1460 train_acc 0.9481 | val_loss 0.1144 val_acc 0.9599 (00:00:08)
22:30:48 | sup[vit_small] | INFO | epoch 058/100 | train_loss 0.1395 train_acc 0.9501 | val_loss 0.1095 val_acc 0.9620 (00:00:08)
22:30:57 | sup[vit_small] | INFO | epoch 059/100 | train_loss 0.1343 train_acc 0.9522 | val_loss 0.1118 val_acc 0.9619 (00:00:08)
22:31:06 | sup[vit_small] | INFO | epoch 060/100 | train_loss 0.1260 train_acc 0.9554 | val_loss 0.1094 val_acc 0.9608 (00:00:08)
22:31:15 | sup[vit_small] | INFO | epoch 061/100 | train_loss 0.1329 train_acc 0.9536 | val_loss 0.1032 val_acc 0.9638 (00:00:08)
22:31:24 | sup[vit_small] | INFO | epoch 062/100 | train_loss 0.1239 train_acc 0.9569 | val_loss 0.0938 val_acc 0.9672 (00:00:08)
22:31:32 | sup[vit_small] | INFO | epoch 063/100 | train_loss 0.1213 train_acc 0.9568 | val_loss 0.0977 val_acc 0.9677 (00:00:08)
22:31:41 | sup[vit_small] | INFO | epoch 064/100 | train_loss 0.1196 train_acc 0.9576 | val_loss 0.0901 val_acc 0.9679 (00:00:09)
22:31:50 | sup[vit_small] | INFO | epoch 065/100 | train_loss 0.1133 train_acc 0.9603 | val_loss 0.0994 val_acc 0.9632 (00:00:08)
22:31:59 | sup[vit_small] | INFO | epoch 066/100 | train_loss 0.1107 train_acc 0.9609 | val_loss 0.0853 val_acc 0.9717 (00:00:08)
22:32:08 | sup[vit_small] | INFO | epoch 067/100 | train_loss 0.1058 train_acc 0.9629 | val_loss 0.0922 val_acc 0.9701 (00:00:08)
22:32:17 | sup[vit_small] | INFO | epoch 068/100 | train_loss 0.1041 train_acc 0.9629 | val_loss 0.0895 val_acc 0.9704 (00:00:08)
22:32:26 | sup[vit_small] | INFO | epoch 069/100 | train_loss 0.0982 train_acc 0.9655 | val_loss 0.0838 val_acc 0.9709 (00:00:08)
22:32:35 | sup[vit_small] | INFO | epoch 070/100 | train_loss 0.0967 train_acc 0.9661 | val_loss 0.0791 val_acc 0.9731 (00:00:08)
22:32:43 | sup[vit_small] | INFO | epoch 071/100 | train_loss 0.0926 train_acc 0.9672 | val_loss 0.0715 val_acc 0.9754 (00:00:08)
22:32:52 | sup[vit_small] | INFO | epoch 072/100 | train_loss 0.0932 train_acc 0.9670 | val_loss 0.0745 val_acc 0.9750 (00:00:08)
22:33:01 | sup[vit_small] | INFO | epoch 073/100 | train_loss 0.0892 train_acc 0.9686 | val_loss 0.0733 val_acc 0.9744 (00:00:08)
22:33:10 | sup[vit_small] | INFO | epoch 074/100 | train_loss 0.0869 train_acc 0.9698 | val_loss 0.0701 val_acc 0.9761 (00:00:08)
22:33:18 | sup[vit_small] | INFO | epoch 075/100 | train_loss 0.0827 train_acc 0.9705 | val_loss 0.0754 val_acc 0.9734 (00:00:08)
22:33:27 | sup[vit_small] | INFO | epoch 076/100 | train_loss 0.0814 train_acc 0.9711 | val_loss 0.0687 val_acc 0.9759 (00:00:08)
22:33:36 | sup[vit_small] | INFO | epoch 077/100 | train_loss 0.0796 train_acc 0.9715 | val_loss 0.0684 val_acc 0.9758 (00:00:08)
22:33:45 | sup[vit_small] | INFO | epoch 078/100 | train_loss 0.0789 train_acc 0.9724 | val_loss 0.0658 val_acc 0.9780 (00:00:08)
22:33:54 | sup[vit_small] | INFO | epoch 079/100 | train_loss 0.0765 train_acc 0.9731 | val_loss 0.0652 val_acc 0.9769 (00:00:08)
22:34:02 | sup[vit_small] | INFO | epoch 080/100 | train_loss 0.0751 train_acc 0.9733 | val_loss 0.0651 val_acc 0.9777 (00:00:08)
22:34:11 | sup[vit_small] | INFO | epoch 081/100 | train_loss 0.0764 train_acc 0.9729 | val_loss 0.0628 val_acc 0.9785 (00:00:08)
22:34:20 | sup[vit_small] | INFO | epoch 082/100 | train_loss 0.0735 train_acc 0.9743 | val_loss 0.0610 val_acc 0.9787 (00:00:08)
22:34:29 | sup[vit_small] | INFO | epoch 083/100 | train_loss 0.0711 train_acc 0.9749 | val_loss 0.0615 val_acc 0.9798 (00:00:08)
