[2026-04-28T04:16:42+00:00] [SUP] backbone=resnet50
[2026-04-28T04:16:42+00:00] ------------------------------------------------
04:25:38 | sup[resnet50] | INFO | epoch 040/100 | train_loss 0.0289 train_acc 0.9901 | val_loss 0.0340 val_acc 0.9892 (00:00:12)
04:25:51 | sup[resnet50] | INFO | epoch 041/100 | train_loss 0.0239 train_acc 0.9914 | val_loss 0.0447 val_acc 0.9870 (00:00:12)
04:26:04 | sup[resnet50] | INFO | epoch 042/100 | train_loss 0.0243 train_acc 0.9918 | val_loss 0.0306 val_acc 0.9907 (00:00:12)
04:26:16 | sup[resnet50] | INFO | epoch 043/100 | train_loss 0.0233 train_acc 0.9921 | val_loss 0.0273 val_acc 0.9916 (00:00:12)
04:26:29 | sup[resnet50] | INFO | epoch 044/100 | train_loss 0.0225 train_acc 0.9924 | val_loss 0.0295 val_acc 0.9902 (00:00:12)
04:26:41 | sup[resnet50] | INFO | epoch 045/100 | train_loss 0.0218 train_acc 0.9927 | val_loss 0.0473 val_acc 0.9845 (00:00:12)
04:26:54 | sup[resnet50] | INFO | epoch 046/100 | train_loss 0.0222 train_acc 0.9924 | val_loss 0.0313 val_acc 0.9905 (00:00:12)
04:27:07 | sup[resnet50] | INFO | epoch 047/100 | train_loss 0.0196 train_acc 0.9931 | val_loss 0.0333 val_acc 0.9908 (00:00:12)
04:27:20 | sup[resnet50] | INFO | epoch 048/100 | train_loss 0.0208 train_acc 0.9929 | val_loss 0.0542 val_acc 0.9832 (00:00:12)
04:27:33 | sup[resnet50] | INFO | epoch 049/100 | train_loss 0.0199 train_acc 0.9934 | val_loss 0.0465 val_acc 0.9845 (00:00:12)
04:27:45 | sup[resnet50] | INFO | epoch 050/100 | train_loss 0.0166 train_acc 0.9944 | val_loss 0.0274 val_acc 0.9910 (00:00:12)
04:27:58 | sup[resnet50] | INFO | epoch 051/100 | train_loss 0.0174 train_acc 0.9939 | val_loss 0.0248 val_acc 0.9917 (00:00:12)
04:28:11 | sup[resnet50] | INFO | epoch 052/100 | train_loss 0.0180 train_acc 0.9937 | val_loss 0.0303 val_acc 0.9913 (00:00:12)
04:28:24 | sup[resnet50] | INFO | epoch 053/100 | train_loss 0.0163 train_acc 0.9945 | val_loss 0.0209 val_acc 0.9938 (00:00:12)
04:28:36 | sup[resnet50] | INFO | epoch 054/100 | train_loss 0.0140 train_acc 0.9950 | val_loss 0.0382 val_acc 0.9876 (00:00:12)
04:28:49 | sup[resnet50] | INFO | epoch 055/100 | train_loss 0.0147 train_acc 0.9948 | val_loss 0.0255 val_acc 0.9926 (00:00:12)
04:29:02 | sup[resnet50] | INFO | epoch 056/100 | train_loss 0.0139 train_acc 0.9951 | val_loss 0.0229 val_acc 0.9933 (00:00:12)
04:29:15 | sup[resnet50] | INFO | epoch 057/100 | train_loss 0.0132 train_acc 0.9957 | val_loss 0.0220 val_acc 0.9934 (00:00:12)
04:29:28 | sup[resnet50] | INFO | epoch 058/100 | train_loss 0.0136 train_acc 0.9954 | val_loss 0.0683 val_acc 0.9809 (00:00:12)
04:29:40 | sup[resnet50] | INFO | epoch 059/100 | train_loss 0.0124 train_acc 0.9958 | val_loss 0.0225 val_acc 0.9928 (00:00:12)
04:29:53 | sup[resnet50] | INFO | epoch 060/100 | train_loss 0.0114 train_acc 0.9960 | val_loss 0.0207 val_acc 0.9939 (00:00:12)
04:30:06 | sup[resnet50] | INFO | epoch 061/100 | train_loss 0.0119 train_acc 0.9960 | val_loss 0.0223 val_acc 0.9933 (00:00:12)
04:30:19 | sup[resnet50] | INFO | epoch 062/100 | train_loss 0.0104 train_acc 0.9964 | val_loss 0.0259 val_acc 0.9920 (00:00:12)
04:30:32 | sup[resnet50] | INFO | epoch 063/100 | train_loss 0.0110 train_acc 0.9961 | val_loss 0.0234 val_acc 0.9934 (00:00:12)
04:30:44 | sup[resnet50] | INFO | epoch 064/100 | train_loss 0.0108 train_acc 0.9965 | val_loss 0.0257 val_acc 0.9929 (00:00:12)
04:30:57 | sup[resnet50] | INFO | epoch 065/100 | train_loss 0.0087 train_acc 0.9972 | val_loss 0.0232 val_acc 0.9934 (00:00:12)
04:31:10 | sup[resnet50] | INFO | epoch 066/100 | train_loss 0.0088 train_acc 0.9969 | val_loss 0.0201 val_acc 0.9943 (00:00:12)
04:31:23 | sup[resnet50] | INFO | epoch 067/100 | train_loss 0.0077 train_acc 0.9973 | val_loss 0.0291 val_acc 0.9920 (00:00:12)
04:31:35 | sup[resnet50] | INFO | epoch 068/100 | train_loss 0.0087 train_acc 0.9971 | val_loss 0.0170 val_acc 0.9950 (00:00:12)
04:31:48 | sup[resnet50] | INFO | epoch 069/100 | train_loss 0.0073 train_acc 0.9976 | val_loss 0.0213 val_acc 0.9942 (00:00:12)
04:32:01 | sup[resnet50] | INFO | epoch 070/100 | train_loss 0.0071 train_acc 0.9977 | val_loss 0.0183 val_acc 0.9955 (00:00:12)
04:32:13 | sup[resnet50] | INFO | epoch 071/100 | train_loss 0.0070 train_acc 0.9978 | val_loss 0.0238 val_acc 0.9929 (00:00:12)
04:32:26 | sup[resnet50] | INFO | epoch 072/100 | train_loss 0.0066 train_acc 0.9977 | val_loss 0.0186 val_acc 0.9944 (00:00:12)
04:32:39 | sup[resnet50] | INFO | epoch 073/100 | train_loss 0.0058 train_acc 0.9980 | val_loss 0.0196 val_acc 0.9943 (00:00:12)
04:32:52 | sup[resnet50] | INFO | epoch 074/100 | train_loss 0.0059 train_acc 0.9979 | val_loss 0.0244 val_acc 0.9933 (00:00:12)
04:33:04 | sup[resnet50] | INFO | epoch 075/100 | train_loss 0.0048 train_acc 0.9984 | val_loss 0.0189 val_acc 0.9949 (00:00:12)
04:33:17 | sup[resnet50] | INFO | epoch 076/100 | train_loss 0.0054 train_acc 0.9982 | val_loss 0.0173 val_acc 0.9951 (00:00:12)
04:33:30 | sup[resnet50] | INFO | epoch 077/100 | train_loss 0.0053 train_acc 0.9983 | val_loss 0.0175 val_acc 0.9954 (00:00:12)
04:33:42 | sup[resnet50] | INFO | epoch 078/100 | train_loss 0.0050 train_acc 0.9982 | val_loss 0.0185 val_acc 0.9948 (00:00:12)
04:33:55 | sup[resnet50] | INFO | epoch 079/100 | train_loss 0.0050 train_acc 0.9982 | val_loss 0.0201 val_acc 0.9948 (00:00:12)
04:34:08 | sup[resnet50] | INFO | epoch 080/100 | train_loss 0.0040 train_acc 0.9987 | val_loss 0.0162 val_acc 0.9956 (00:00:12)
04:34:20 | sup[resnet50] | INFO | epoch 081/100 | train_loss 0.0037 train_acc 0.9988 | val_loss 0.0178 val_acc 0.9951 (00:00:12)
04:34:33 | sup[resnet50] | INFO | epoch 082/100 | train_loss 0.0039 train_acc 0.9988 | val_loss 0.0172 val_acc 0.9955 (00:00:12)
04:34:46 | sup[resnet50] | INFO | epoch 083/100 | train_loss 0.0031 train_acc 0.9990 | val_loss 0.0169 val_acc 0.9955 (00:00:12)
04:34:58 | sup[resnet50] | INFO | epoch 084/100 | train_loss 0.0032 train_acc 0.9990 | val_loss 0.0162 val_acc 0.9952 (00:00:12)
04:35:11 | sup[resnet50] | INFO | epoch 085/100 | train_loss 0.0037 train_acc 0.9987 | val_loss 0.0148 val_acc 0.9955 (00:00:12)
04:35:24 | sup[resnet50] | INFO | epoch 086/100 | train_loss 0.0031 train_acc 0.9990 | val_loss 0.0143 val_acc 0.9957 (00:00:12)
04:35:37 | sup[resnet50] | INFO | epoch 087/100 | train_loss 0.0034 train_acc 0.9989 | val_loss 0.0172 val_acc 0.9955 (00:00:12)
04:35:50 | sup[resnet50] | INFO | epoch 088/100 | train_loss 0.0027 train_acc 0.9992 | val_loss 0.0148 val_acc 0.9959 (00:00:12)
04:36:02 | sup[resnet50] | INFO | epoch 089/100 | train_loss 0.0026 train_acc 0.9991 | val_loss 0.0152 val_acc 0.9954 (00:00:12)
04:36:15 | sup[resnet50] | INFO | epoch 090/100 | train_loss 0.0027 train_acc 0.9991 | val_loss 0.0152 val_acc 0.9958 (00:00:12)
04:36:28 | sup[resnet50] | INFO | epoch 091/100 | train_loss 0.0024 train_acc 0.9993 | val_loss 0.0139 val_acc 0.9960 (00:00:12)
04:36:40 | sup[resnet50] | INFO | epoch 092/100 | train_loss 0.0026 train_acc 0.9992 | val_loss 0.0159 val_acc 0.9957 (00:00:12)
04:36:53 | sup[resnet50] | INFO | epoch 093/100 | train_loss 0.0025 train_acc 0.9993 | val_loss 0.0150 val_acc 0.9957 (00:00:12)
04:37:06 | sup[resnet50] | INFO | epoch 094/100 | train_loss 0.0023 train_acc 0.9993 | val_loss 0.0144 val_acc 0.9961 (00:00:12)
04:37:19 | sup[resnet50] | INFO | epoch 095/100 | train_loss 0.0022 train_acc 0.9994 | val_loss 0.0142 val_acc 0.9961 (00:00:12)
04:37:32 | sup[resnet50] | INFO | epoch 096/100 | train_loss 0.0023 train_acc 0.9994 | val_loss 0.0158 val_acc 0.9959 (00:00:12)
04:37:44 | sup[resnet50] | INFO | epoch 097/100 | train_loss 0.0025 train_acc 0.9992 | val_loss 0.0151 val_acc 0.9960 (00:00:12)
04:37:57 | sup[resnet50] | INFO | epoch 098/100 | train_loss 0.0023 train_acc 0.9993 | val_loss 0.0142 val_acc 0.9959 (00:00:12)
04:38:10 | sup[resnet50] | INFO | epoch 099/100 | train_loss 0.0020 train_acc 0.9994 | val_loss 0.0151 val_acc 0.9956 (00:00:12)
04:38:22 | sup[resnet50] | INFO | epoch 100/100 | train_loss 0.0024 train_acc 0.9993 | val_loss 0.0158 val_acc 0.9957 (00:00:12)
04:38:23 | sup[resnet50] | INFO | Total supervised training: 00:21:23 (best val_acc 0.9961)
04:39:00 | eval[supervised-resnet50/resnet50] | INFO | Loaded backbone weights from /workspace/vcl_pathmnist/runs/sup-resnet50-ep100-bs512-seed42/backbone_final.pt
04:39:01 | eval[supervised-resnet50/resnet50] | INFO | Extracting features for kNN / t-SNE / UMAP...
04:39:32 | eval[supervised-resnet50/resnet50] | INFO | kNN(k=20) top-1: 0.9535
/workspace/vcl_pathmnist/.venv/lib/python3.12/site-packages/umap/umap_.py:1952: UserWarning: n_jobs value 1 overridden to 1 by setting random_state. Use no seed for parallelism.
  warn(
04:40:02 | eval[supervised-resnet50/resnet50] | INFO | Saved t-SNE / UMAP plots.
04:40:02 | probe[linear/resnet50] | INFO | Loaded backbone weights — missing: 0, unexpected: 0
04:40:14 | probe[linear/resnet50] | INFO | [linear] epoch 001/30 | train_loss 0.5854 train_acc 0.8632 | val_loss 0.0277 val_acc 0.9947
04:40:23 | probe[linear/resnet50] | INFO | [linear] epoch 002/30 | train_loss 0.0132 train_acc 0.9986 | val_loss 0.0162 val_acc 0.9956
04:40:33 | probe[linear/resnet50] | INFO | [linear] epoch 003/30 | train_loss 0.0072 train_acc 0.9988 | val_loss 0.0142 val_acc 0.9954
04:40:41 | probe[linear/resnet50] | INFO | [linear] epoch 004/30 | train_loss 0.0052 train_acc 0.9991 | val_loss 0.0140 val_acc 0.9955
04:40:50 | probe[linear/resnet50] | INFO | [linear] epoch 005/30 | train_loss 0.0044 train_acc 0.9992 | val_loss 0.0138 val_acc 0.9957
04:41:00 | probe[linear/resnet50] | INFO | [linear] epoch 006/30 | train_loss 0.0038 train_acc 0.9993 | val_loss 0.0142 val_acc 0.9955
04:41:09 | probe[linear/resnet50] | INFO | [linear] epoch 007/30 | train_loss 0.0036 train_acc 0.9992 | val_loss 0.0136 val_acc 0.9954
04:41:18 | probe[linear/resnet50] | INFO | [linear] epoch 008/30 | train_loss 0.0031 train_acc 0.9993 | val_loss 0.0131 val_acc 0.9959
04:41:27 | probe[linear/resnet50] | INFO | [linear] epoch 009/30 | train_loss 0.0028 train_acc 0.9993 | val_loss 0.0132 val_acc 0.9959
04:41:36 | probe[linear/resnet50] | INFO | [linear] epoch 010/30 | train_loss 0.0027 train_acc 0.9993 | val_loss 0.0157 val_acc 0.9950
04:41:45 | probe[linear/resnet50] | INFO | [linear] epoch 011/30 | train_loss 0.0025 train_acc 0.9994 | val_loss 0.0132 val_acc 0.9956
04:41:54 | probe[linear/resnet50] | INFO | [linear] epoch 012/30 | train_loss 0.0029 train_acc 0.9993 | val_loss 0.0138 val_acc 0.9954
04:42:03 | probe[linear/resnet50] | INFO | [linear] epoch 013/30 | train_loss 0.0025 train_acc 0.9992 | val_loss 0.0140 val_acc 0.9956
04:42:12 | probe[linear/resnet50] | INFO | [linear] epoch 014/30 | train_loss 0.0026 train_acc 0.9994 | val_loss 0.0140 val_acc 0.9952
04:42:21 | probe[linear/resnet50] | INFO | [linear] epoch 015/30 | train_loss 0.0023 train_acc 0.9993 | val_loss 0.0147 val_acc 0.9951
04:42:31 | probe[linear/resnet50] | INFO | [linear] epoch 016/30 | train_loss 0.0024 train_acc 0.9993 | val_loss 0.0145 val_acc 0.9957
04:42:39 | probe[linear/resnet50] | INFO | [linear] epoch 017/30 | train_loss 0.0027 train_acc 0.9992 | val_loss 0.0146 val_acc 0.9954
04:42:48 | probe[linear/resnet50] | INFO | [linear] epoch 018/30 | train_loss 0.0022 train_acc 0.9993 | val_loss 0.0149 val_acc 0.9955
04:42:57 | probe[linear/resnet50] | INFO | [linear] epoch 019/30 | train_loss 0.0023 train_acc 0.9994 | val_loss 0.0147 val_acc 0.9954
04:43:07 | probe[linear/resnet50] | INFO | [linear] epoch 020/30 | train_loss 0.0023 train_acc 0.9994 | val_loss 0.0146 val_acc 0.9955
04:43:16 | probe[linear/resnet50] | INFO | [linear] epoch 021/30 | train_loss 0.0019 train_acc 0.9995 | val_loss 0.0145 val_acc 0.9953
04:43:25 | probe[linear/resnet50] | INFO | [linear] epoch 022/30 | train_loss 0.0019 train_acc 0.9995 | val_loss 0.0152 val_acc 0.9954
04:43:34 | probe[linear/resnet50] | INFO | [linear] epoch 023/30 | train_loss 0.0019 train_acc 0.9995 | val_loss 0.0146 val_acc 0.9953
04:43:42 | probe[linear/resnet50] | INFO | [linear] epoch 024/30 | train_loss 0.0019 train_acc 0.9995 | val_loss 0.0146 val_acc 0.9954
04:43:52 | probe[linear/resnet50] | INFO | [linear] epoch 025/30 | train_loss 0.0018 train_acc 0.9996 | val_loss 0.0146 val_acc 0.9955
04:44:01 | probe[linear/resnet50] | INFO | [linear] epoch 026/30 | train_loss 0.0021 train_acc 0.9995 | val_loss 0.0151 val_acc 0.9955
04:44:09 | probe[linear/resnet50] | INFO | [linear] epoch 027/30 | train_loss 0.0018 train_acc 0.9995 | val_loss 0.0151 val_acc 0.9955
04:44:18 | probe[linear/resnet50] | INFO | [linear] epoch 028/30 | train_loss 0.0020 train_acc 0.9994 | val_loss 0.0147 val_acc 0.9955
04:44:27 | probe[linear/resnet50] | INFO | [linear] epoch 029/30 | train_loss 0.0019 train_acc 0.9995 | val_loss 0.0147 val_acc 0.9954
