22:54:36 | vae[b4] | INFO | BetaVAE params: 4.54M
22:59:01 | vae[b4] | INFO | epoch 044/50 | loss 777.0640 | recon 698.4832 | kl 19.6452 | lr 4.77e-05 | 00:00:06
22:59:07 | vae[b4] | INFO | epoch 045/50 | loss 776.8308 | recon 698.3008 | kl 19.6325 | lr 3.63e-05 | 00:00:06
22:59:14 | vae[b4] | INFO | epoch 046/50 | loss 776.4454 | recon 697.8586 | kl 19.6467 | lr 2.69e-05 | 00:00:06
22:59:20 | vae[b4] | INFO | epoch 047/50 | loss 776.2600 | recon 697.7586 | kl 19.6253 | lr 1.95e-05 | 00:00:06
22:59:27 | vae[b4] | INFO | epoch 048/50 | loss 776.3693 | recon 697.7719 | kl 19.6493 | lr 1.42e-05 | 00:00:06
22:59:33 | vae[b4] | INFO | epoch 049/50 | loss 776.3134 | recon 697.6163 | kl 19.6743 | lr 1.11e-05 | 00:00:06
22:59:39 | vae[b4] | INFO | epoch 050/50 | loss 776.1933 | recon 697.6677 | kl 19.6314 | lr 1.00e-05 | 00:00:05
22:59:39 | vae[b4] | INFO | VAE done in 00:05:02 (best loss 776.1933)
22:59:39 | vae.precompute | INFO | Computing saliency for 89996 images from pathmnist:train...
22:59:46 | vae.precompute | INFO | Saliency computed in 7.0s, shape (89996, 128, 128)
23:07:25 | vae.precompute | INFO | Saved saliency map to /workspace/vcl_pathmnist/runs/vae-pathmnist-ld64-b4-ep50-seed42/saliency_train.npy
