[supervised] Using 9000/89996 samples (10% stratified)
15:03:02 | sup[vit_small] | INFO | epoch 041/100 | train_loss 0.5485 train_acc 0.7990 | val_loss 0.4580 val_acc 0.8310 (00:00:02)
15:03:05 | sup[vit_small] | INFO | epoch 042/100 | train_loss 0.5676 train_acc 0.7799 | val_loss 0.5031 val_acc 0.8177 (00:00:02)
15:03:07 | sup[vit_small] | INFO | epoch 043/100 | train_loss 0.5607 train_acc 0.7907 | val_loss 0.4931 val_acc 0.8230 (00:00:02)
15:03:10 | sup[vit_small] | INFO | epoch 044/100 | train_loss 0.5632 train_acc 0.7933 | val_loss 0.4960 val_acc 0.8195 (00:00:02)
15:03:13 | sup[vit_small] | INFO | epoch 045/100 | train_loss 0.5277 train_acc 0.8058 | val_loss 0.4834 val_acc 0.8239 (00:00:02)
15:03:15 | sup[vit_small] | INFO | epoch 046/100 | train_loss 0.5184 train_acc 0.8078 | val_loss 0.4789 val_acc 0.8254 (00:00:02)
15:03:18 | sup[vit_small] | INFO | epoch 047/100 | train_loss 0.5269 train_acc 0.8049 | val_loss 0.4953 val_acc 0.8205 (00:00:02)
15:03:20 | sup[vit_small] | INFO | epoch 048/100 | train_loss 0.5306 train_acc 0.8071 | val_loss 0.4601 val_acc 0.8300 (00:00:02)
15:03:23 | sup[vit_small] | INFO | epoch 049/100 | train_loss 0.5126 train_acc 0.8144 | val_loss 0.4622 val_acc 0.8322 (00:00:02)
15:03:26 | sup[vit_small] | INFO | epoch 050/100 | train_loss 0.5017 train_acc 0.8164 | val_loss 0.4468 val_acc 0.8344 (00:00:03)
15:03:29 | sup[vit_small] | INFO | epoch 051/100 | train_loss 0.4985 train_acc 0.8184 | val_loss 0.4753 val_acc 0.8281 (00:00:02)
15:03:32 | sup[vit_small] | INFO | epoch 052/100 | train_loss 0.4942 train_acc 0.8201 | val_loss 0.4700 val_acc 0.8269 (00:00:02)
15:03:34 | sup[vit_small] | INFO | epoch 053/100 | train_loss 0.5099 train_acc 0.8174 | val_loss 0.4625 val_acc 0.8299 (00:00:02)
15:03:37 | sup[vit_small] | INFO | epoch 054/100 | train_loss 0.4903 train_acc 0.8163 | val_loss 0.4054 val_acc 0.8541 (00:00:02)
15:03:40 | sup[vit_small] | INFO | epoch 055/100 | train_loss 0.4442 train_acc 0.8390 | val_loss 0.3831 val_acc 0.8609 (00:00:02)
15:03:42 | sup[vit_small] | INFO | epoch 056/100 | train_loss 0.4440 train_acc 0.8365 | val_loss 0.3761 val_acc 0.8635 (00:00:02)
15:03:45 | sup[vit_small] | INFO | epoch 057/100 | train_loss 0.4303 train_acc 0.8412 | val_loss 0.3735 val_acc 0.8609 (00:00:02)
15:03:47 | sup[vit_small] | INFO | epoch 058/100 | train_loss 0.4325 train_acc 0.8401 | val_loss 0.3791 val_acc 0.8585 (00:00:02)
15:03:50 | sup[vit_small] | INFO | epoch 059/100 | train_loss 0.4305 train_acc 0.8464 | val_loss 0.3690 val_acc 0.8654 (00:00:02)
15:03:53 | sup[vit_small] | INFO | epoch 060/100 | train_loss 0.4016 train_acc 0.8506 | val_loss 0.4067 val_acc 0.8519 (00:00:02)
15:03:56 | sup[vit_small] | INFO | epoch 061/100 | train_loss 0.4061 train_acc 0.8491 | val_loss 0.3539 val_acc 0.8709 (00:00:02)
15:03:58 | sup[vit_small] | INFO | epoch 062/100 | train_loss 0.3950 train_acc 0.8603 | val_loss 0.3536 val_acc 0.8699 (00:00:02)
15:04:01 | sup[vit_small] | INFO | epoch 063/100 | train_loss 0.3928 train_acc 0.8501 | val_loss 0.3785 val_acc 0.8594 (00:00:02)
15:04:03 | sup[vit_small] | INFO | epoch 064/100 | train_loss 0.4052 train_acc 0.8490 | val_loss 0.3620 val_acc 0.8690 (00:00:02)
15:04:06 | sup[vit_small] | INFO | epoch 065/100 | train_loss 0.3884 train_acc 0.8592 | val_loss 0.3602 val_acc 0.8698 (00:00:02)
15:04:08 | sup[vit_small] | INFO | epoch 066/100 | train_loss 0.3721 train_acc 0.8650 | val_loss 0.3408 val_acc 0.8784 (00:00:02)
15:04:11 | sup[vit_small] | INFO | epoch 067/100 | train_loss 0.3703 train_acc 0.8623 | val_loss 0.3288 val_acc 0.8838 (00:00:02)
15:04:14 | sup[vit_small] | INFO | epoch 068/100 | train_loss 0.3585 train_acc 0.8723 | val_loss 0.3278 val_acc 0.8805 (00:00:02)
15:04:16 | sup[vit_small] | INFO | epoch 069/100 | train_loss 0.3601 train_acc 0.8679 | val_loss 0.3131 val_acc 0.8852 (00:00:02)
15:04:19 | sup[vit_small] | INFO | epoch 070/100 | train_loss 0.3505 train_acc 0.8731 | val_loss 0.3207 val_acc 0.8856 (00:00:02)
15:04:21 | sup[vit_small] | INFO | epoch 071/100 | train_loss 0.3491 train_acc 0.8696 | val_loss 0.2982 val_acc 0.8903 (00:00:02)
15:04:24 | sup[vit_small] | INFO | epoch 072/100 | train_loss 0.3381 train_acc 0.8778 | val_loss 0.3084 val_acc 0.8889 (00:00:02)
15:04:27 | sup[vit_small] | INFO | epoch 073/100 | train_loss 0.3242 train_acc 0.8863 | val_loss 0.3192 val_acc 0.8842 (00:00:02)
15:04:30 | sup[vit_small] | INFO | epoch 074/100 | train_loss 0.3375 train_acc 0.8778 | val_loss 0.3098 val_acc 0.8887 (00:00:02)
15:04:32 | sup[vit_small] | INFO | epoch 075/100 | train_loss 0.3268 train_acc 0.8810 | val_loss 0.2942 val_acc 0.8960 (00:00:02)
15:04:34 | sup[vit_small] | INFO | epoch 076/100 | train_loss 0.3166 train_acc 0.8827 | val_loss 0.3042 val_acc 0.8930 (00:00:02)
15:04:37 | sup[vit_small] | INFO | epoch 077/100 | train_loss 0.3168 train_acc 0.8850 | val_loss 0.2852 val_acc 0.9019 (00:00:02)
15:04:39 | sup[vit_small] | INFO | epoch 078/100 | train_loss 0.3098 train_acc 0.8882 | val_loss 0.2906 val_acc 0.8968 (00:00:02)
15:04:42 | sup[vit_small] | INFO | epoch 079/100 | train_loss 0.3004 train_acc 0.8906 | val_loss 0.2840 val_acc 0.9009 (00:00:02)
15:04:45 | sup[vit_small] | INFO | epoch 080/100 | train_loss 0.3052 train_acc 0.8881 | val_loss 0.2785 val_acc 0.8998 (00:00:02)
15:04:48 | sup[vit_small] | INFO | epoch 081/100 | train_loss 0.2895 train_acc 0.8971 | val_loss 0.2712 val_acc 0.9055 (00:00:02)
15:04:50 | sup[vit_small] | INFO | epoch 082/100 | train_loss 0.2911 train_acc 0.8935 | val_loss 0.2738 val_acc 0.9005 (00:00:02)
15:04:52 | sup[vit_small] | INFO | epoch 083/100 | train_loss 0.2816 train_acc 0.8977 | val_loss 0.2717 val_acc 0.9035 (00:00:02)
15:04:55 | sup[vit_small] | INFO | epoch 084/100 | train_loss 0.2773 train_acc 0.9001 | val_loss 0.2717 val_acc 0.9031 (00:00:02)
15:04:58 | sup[vit_small] | INFO | epoch 085/100 | train_loss 0.2800 train_acc 0.8969 | val_loss 0.2715 val_acc 0.9033 (00:00:02)
15:05:00 | sup[vit_small] | INFO | epoch 086/100 | train_loss 0.2797 train_acc 0.8977 | val_loss 0.2808 val_acc 0.8995 (00:00:02)
15:05:03 | sup[vit_small] | INFO | epoch 087/100 | train_loss 0.2822 train_acc 0.8965 | val_loss 0.2653 val_acc 0.9088 (00:00:02)
15:05:06 | sup[vit_small] | INFO | epoch 088/100 | train_loss 0.2724 train_acc 0.9015 | val_loss 0.2685 val_acc 0.9050 (00:00:02)
15:05:08 | sup[vit_small] | INFO | epoch 089/100 | train_loss 0.2645 train_acc 0.9044 | val_loss 0.2700 val_acc 0.9041 (00:00:02)
15:05:11 | sup[vit_small] | INFO | epoch 090/100 | train_loss 0.2748 train_acc 0.9023 | val_loss 0.2648 val_acc 0.9062 (00:00:02)
15:05:13 | sup[vit_small] | INFO | epoch 091/100 | train_loss 0.2667 train_acc 0.9021 | val_loss 0.2630 val_acc 0.9080 (00:00:02)
15:05:16 | sup[vit_small] | INFO | epoch 092/100 | train_loss 0.2624 train_acc 0.9046 | val_loss 0.2619 val_acc 0.9064 (00:00:02)
15:05:18 | sup[vit_small] | INFO | epoch 093/100 | train_loss 0.2602 train_acc 0.9069 | val_loss 0.2574 val_acc 0.9088 (00:00:02)
15:05:21 | sup[vit_small] | INFO | epoch 094/100 | train_loss 0.2644 train_acc 0.9060 | val_loss 0.2553 val_acc 0.9112 (00:00:02)
15:05:24 | sup[vit_small] | INFO | epoch 095/100 | train_loss 0.2579 train_acc 0.9060 | val_loss 0.2536 val_acc 0.9097 (00:00:02)
15:05:26 | sup[vit_small] | INFO | epoch 096/100 | train_loss 0.2650 train_acc 0.9047 | val_loss 0.2563 val_acc 0.9093 (00:00:02)
15:05:29 | sup[vit_small] | INFO | epoch 097/100 | train_loss 0.2620 train_acc 0.9066 | val_loss 0.2559 val_acc 0.9094 (00:00:02)
15:05:31 | sup[vit_small] | INFO | epoch 098/100 | train_loss 0.2614 train_acc 0.9078 | val_loss 0.2579 val_acc 0.9070 (00:00:02)
15:05:34 | sup[vit_small] | INFO | epoch 099/100 | train_loss 0.2548 train_acc 0.9086 | val_loss 0.2573 val_acc 0.9092 (00:00:02)
15:05:37 | sup[vit_small] | INFO | epoch 100/100 | train_loss 0.2608 train_acc 0.9068 | val_loss 0.2569 val_acc 0.9083 (00:00:02)
15:05:37 | sup[vit_small] | INFO | Total supervised training: 00:04:24 (best val_acc 0.9112)

