02:17:00 | ssl[byol/vit_small] | INFO | epoch 066 done in 00:00:06 | loss 0.1341
02:17:05 | ssl[byol/vit_small] | INFO | epoch 067 done in 00:00:05 | loss 0.1303
02:17:12 | ssl[byol/vit_small] | INFO | epoch 068 done in 00:00:06 | loss 0.1318
02:17:18 | ssl[byol/vit_small] | INFO | epoch 069 done in 00:00:06 | loss 0.1341
02:17:24 | ssl[byol/vit_small] | INFO | epoch 070 done in 00:00:05 | loss 0.1322
02:17:30 | ssl[byol/vit_small] | INFO | epoch 071 done in 00:00:06 | loss 0.1274
02:17:37 | ssl[byol/vit_small] | INFO | epoch 072 done in 00:00:06 | loss 0.1313
02:17:42 | ssl[byol/vit_small] | INFO | epoch 073 done in 00:00:04 | loss 0.1291
02:17:49 | ssl[byol/vit_small] | INFO | epoch 074 done in 00:00:06 | loss 0.1281
02:17:55 | ssl[byol/vit_small] | INFO | epoch 075 done in 00:00:06 | loss 0.1274
02:18:01 | ssl[byol/vit_small] | INFO | epoch 076 done in 00:00:05 | loss 0.1275
02:18:08 | ssl[byol/vit_small] | INFO | epoch 077 done in 00:00:06 | loss 0.1258
02:18:15 | ssl[byol/vit_small] | INFO | epoch 078 done in 00:00:06 | loss 0.1275
02:18:20 | ssl[byol/vit_small] | INFO | epoch 079 done in 00:00:05 | loss 0.1294
02:18:26 | ssl[byol/vit_small] | INFO | epoch 080 done in 00:00:06 | loss 0.1262
02:18:33 | ssl[byol/vit_small] | INFO | epoch 081 done in 00:00:06 | loss 0.1260
02:18:38 | ssl[byol/vit_small] | INFO | epoch 082 done in 00:00:05 | loss 0.1282
02:18:45 | ssl[byol/vit_small] | INFO | epoch 083 done in 00:00:06 | loss 0.1255
02:18:50 | ssl[byol/vit_small] | INFO | epoch 084 done in 00:00:05 | loss 0.1245
02:18:57 | ssl[byol/vit_small] | INFO | epoch 085 done in 00:00:06 | loss 0.1253
02:19:03 | ssl[byol/vit_small] | INFO | epoch 086 done in 00:00:06 | loss 0.1245
02:19:09 | ssl[byol/vit_small] | INFO | epoch 087 done in 00:00:05 | loss 0.1223
02:19:15 | ssl[byol/vit_small] | INFO | epoch 088 done in 00:00:06 | loss 0.1259
02:19:22 | ssl[byol/vit_small] | INFO | epoch 089 done in 00:00:07 | loss 0.1237
02:19:27 | ssl[byol/vit_small] | INFO | epoch 090 done in 00:00:05 | loss 0.1222
02:19:34 | ssl[byol/vit_small] | INFO | epoch 091 done in 00:00:06 | loss 0.1251
02:19:41 | ssl[byol/vit_small] | INFO | epoch 092 done in 00:00:06 | loss 0.1242
02:19:47 | ssl[byol/vit_small] | INFO | epoch 093 done in 00:00:05 | loss 0.1226
02:19:53 | ssl[byol/vit_small] | INFO | epoch 094 done in 00:00:06 | loss 0.1222
02:20:00 | ssl[byol/vit_small] | INFO | epoch 095 done in 00:00:06 | loss 0.1241
02:20:06 | ssl[byol/vit_small] | INFO | epoch 096 done in 00:00:05 | loss 0.1239
02:20:12 | ssl[byol/vit_small] | INFO | epoch 097 done in 00:00:05 | loss 0.1238
02:20:19 | ssl[byol/vit_small] | INFO | epoch 098 done in 00:00:06 | loss 0.1226
02:20:23 | ssl[byol/vit_small] | INFO | epoch 099 done in 00:00:04 | loss 0.1248
02:20:29 | ssl[byol/vit_small] | INFO | epoch 100 done in 00:00:06 | loss 0.1210
02:20:29 | ssl[byol/vit_small] | INFO | Total SSL training: 00:09:55 (best loss 0.1210)

02:24:11 | eval[BYOL-10pct/vit_small] | INFO | Loaded backbone weights from runs/ssl-byol-vit_small-ep100-bs256-seed42-frac10/backbone_final.pt
02:25:14 | eval[BYOL-10pct/vit_small] | INFO | Extracting features for kNN / t-SNE / UMAP...
02:26:26 | eval[BYOL-10pct/vit_small] | INFO | kNN(k=20) top-1: 0.8592
02:27:13 | eval[BYOL-10pct/vit_small] | INFO | Saved t-SNE / UMAP plots.
02:52:49 | eval[BYOL-10pct/vit_small] | INFO | Linear test acc 0.8281 | bal-acc 0.7866 | f1-macro 0.7674 | AUC 0.9811020290134019
02:59:48 | eval[BYOL-10pct/vit_small] | INFO | Low-shot 10.0% (n=9000) -> test acc 0.8819 | bal-acc 0.8516 | f1-macro 0.8420
03:02:46 | eval[BYOL-10pct/vit_small] | INFO | Low-shot 1.0% (n=901) -> test acc 0.8451 | bal-acc 0.7978 | f1-macro 0.7853
03:02:46 | eval[BYOL-10pct/vit_small] | INFO | Downstream evaluation complete.
