02:17:23 | ssl[simclr/vit_small] | INFO | epoch 065 done in 00:00:05 | loss 1.1600
02:17:29 | ssl[simclr/vit_small] | INFO | epoch 066 done in 00:00:05 | loss 1.1239
02:17:34 | ssl[simclr/vit_small] | INFO | epoch 067 done in 00:00:05 | loss 1.1077
02:17:39 | ssl[simclr/vit_small] | INFO | epoch 068 done in 00:00:05 | loss 1.0939
02:17:45 | ssl[simclr/vit_small] | INFO | epoch 069 done in 00:00:05 | loss 1.0920
02:17:49 | ssl[simclr/vit_small] | INFO | epoch 070 done in 00:00:04 | loss 1.0870
02:17:55 | ssl[simclr/vit_small] | INFO | epoch 071 done in 00:00:06 | loss 1.0625
02:18:00 | ssl[simclr/vit_small] | INFO | epoch 072 done in 00:00:04 | loss 1.0570
02:18:06 | ssl[simclr/vit_small] | INFO | epoch 073 done in 00:00:05 | loss 1.0456
02:18:10 | ssl[simclr/vit_small] | INFO | epoch 074 done in 00:00:04 | loss 1.0324
02:18:16 | ssl[simclr/vit_small] | INFO | epoch 075 done in 00:00:05 | loss 1.0334
02:18:21 | ssl[simclr/vit_small] | INFO | epoch 076 done in 00:00:04 | loss 1.0240
02:18:27 | ssl[simclr/vit_small] | INFO | epoch 077 done in 00:00:05 | loss 1.0311
02:18:32 | ssl[simclr/vit_small] | INFO | epoch 078 done in 00:00:05 | loss 0.9864
02:18:38 | ssl[simclr/vit_small] | INFO | epoch 079 done in 00:00:05 | loss 0.9990
02:18:43 | ssl[simclr/vit_small] | INFO | epoch 080 done in 00:00:05 | loss 1.0013
02:18:48 | ssl[simclr/vit_small] | INFO | epoch 081 done in 00:00:04 | loss 1.0001
02:18:53 | ssl[simclr/vit_small] | INFO | epoch 082 done in 00:00:05 | loss 0.9618
02:18:57 | ssl[simclr/vit_small] | INFO | epoch 083 done in 00:00:04 | loss 0.9685
02:19:03 | ssl[simclr/vit_small] | INFO | epoch 084 done in 00:00:06 | loss 0.9624
02:19:09 | ssl[simclr/vit_small] | INFO | epoch 085 done in 00:00:05 | loss 0.9587
02:19:14 | ssl[simclr/vit_small] | INFO | epoch 086 done in 00:00:05 | loss 0.9524
02:19:20 | ssl[simclr/vit_small] | INFO | epoch 087 done in 00:00:05 | loss 0.9538
02:19:24 | ssl[simclr/vit_small] | INFO | epoch 088 done in 00:00:04 | loss 0.9490
02:19:30 | ssl[simclr/vit_small] | INFO | epoch 089 done in 00:00:05 | loss 0.9393
02:19:34 | ssl[simclr/vit_small] | INFO | epoch 090 done in 00:00:04 | loss 0.9209
02:19:40 | ssl[simclr/vit_small] | INFO | epoch 091 done in 00:00:05 | loss 0.9156
02:19:45 | ssl[simclr/vit_small] | INFO | epoch 092 done in 00:00:04 | loss 0.9220
02:19:50 | ssl[simclr/vit_small] | INFO | epoch 093 done in 00:00:05 | loss 0.9253
02:19:54 | ssl[simclr/vit_small] | INFO | epoch 094 done in 00:00:03 | loss 0.9297
02:20:00 | ssl[simclr/vit_small] | INFO | epoch 095 done in 00:00:05 | loss 0.9282
02:20:05 | ssl[simclr/vit_small] | INFO | epoch 096 done in 00:00:05 | loss 0.9089
02:20:11 | ssl[simclr/vit_small] | INFO | epoch 097 done in 00:00:05 | loss 0.9326
02:20:16 | ssl[simclr/vit_small] | INFO | epoch 098 done in 00:00:05 | loss 0.9161
02:20:21 | ssl[simclr/vit_small] | INFO | epoch 099 done in 00:00:04 | loss 0.9114
02:20:27 | ssl[simclr/vit_small] | INFO | epoch 100 done in 00:00:05 | loss 0.9208
02:20:27 | ssl[simclr/vit_small] | INFO | Total SSL training: 00:08:44 (best loss 0.9089)

02:24:11 | eval[SimCLR-10pct/vit_small] | INFO | Loaded backbone weights from runs/ssl-simclr-vit_small-ep100-bs256-seed42-frac10/backbone_final.pt
02:38:17 | eval[SimCLR-10pct/vit_small] | INFO | Extracting features for kNN / t-SNE / UMAP...
02:42:47 | eval[SimCLR-10pct/vit_small] | INFO | kNN(k=20) top-1: 0.8806
02:43:48 | eval[SimCLR-10pct/vit_small] | INFO | Saved t-SNE / UMAP plots.
03:10:09 | eval[SimCLR-10pct/vit_small] | INFO | Linear test acc 0.8747 | bal-acc 0.8449 | f1-macro 0.8348 | AUC 0.987612743202112
03:14:37 | eval[SimCLR-10pct/vit_small] | INFO | Low-shot 10.0% (n=9000) -> test acc 0.8999 | bal-acc 0.8796 | f1-macro 0.8726
03:16:46 | eval[SimCLR-10pct/vit_small] | INFO | Low-shot 1.0% (n=901) -> test acc 0.8720 | bal-acc 0.8304 | f1-macro 0.8255
03:16:46 | eval[SimCLR-10pct/vit_small] | INFO | Downstream evaluation complete.
